,Squad,Gls,G-PK,CrdY,Gls,G-PK
0,Arna-Bjørnar,37,36,20,1.68,1.64
1,Avaldsnes,49,48,22,2.23,2.18
2,Grand Bodø,30,29,19,1.36,1.32
3,Klepp,33,31,13,1.5,1.41
4,Kolbotn,16,16,8,0.73,0.73
5,LSK Kvinner,67,65,11,3.05,2.95
6,Medkila,9,9,13,0.41,0.41
7,Røa,42,42,22,1.91,1.91
8,Sandviken,23,23,10,1.05,1.05
9,Stabæk,44,44,4,2.0,2.0
10,Trondheims-Ørn,36,36,9,1.64,1.64
11,Vålerenga,38,38,16,1.73,1.73
0,Arna-Bjørnar,52,51,11,2.36,2.32
1,Avaldsnes,24,21,22,1.09,0.95
2,Grand Bodø,19,18,16,0.86,0.82
3,Klepp,39,37,12,1.77,1.68
4,Kolbotn,34,32,11,1.55,1.45
5,LSK Kvinner,68,64,6,3.09,2.91
6,Lyn,26,24,19,1.18,1.09
7,Røa,40,38,28,1.82,1.73
8,Sandviken,40,40,15,1.82,1.82
9,Stabæk,29,29,7,1.32,1.32
10,Trondheims-Ørn,25,24,15,1.14,1.09
11,Vålerenga,36,32,27,1.64,1.45
0,Arna-Bjørnar,26,26,14,1.18,1.18
1,Avaldsnes,40,36,21,1.82,1.64
2,Fart,14,13,15,0.64,0.59
3,Klepp,48,47,13,2.18,2.14
4,Kolbotn,35,32,10,1.59,1.45
5,LSK Kvinner,50,44,6,2.27,2.0
6,Lyn,23,22,20,1.05,1.0
7,Røa,39,35,27,1.77,1.59
8,Sandviken,43,40,10,1.95,1.82
9,Stabæk,16,15,12,0.73,0.68
10,Trondheims-Ørn,26,24,16,1.18,1.09
11,Vålerenga,41,40,19,1.86,1.82
